disease,symptom,Number of diseases,values
Other specified periodontal disease,Sore gums,2.0,1
Other specified periodontal disease NOS,Sore gums,2.0,1
Other specified periodontal disease,Gingival edema,1.0,1
Other specified periodontal disease NOS,Gingival edema,1.0,1
Other specified schistosoma NOS,Schistosomal pigment deposition,4.0,1
Other specified urticaria NOS,Immune complex urticaria,7.0,1
[X]Other synovitis and tenosynovitis,Subsultus tendinum,1.0,1
Disorder of pancreas,Pancreatic symptom,1.0,1
Erythema nodosum migrans,Erythema of skin,89.0,1
Erythema nodosum migrans,Erythematous condition,89.0,1
Optic disc swelling,Mass of eye structure,7.0,1
Optic papillitis,Mass of eye structure,7.0,1
Optic disc edema,Mass of eye structure,7.0,1
Optic disc swelling,Swelling of structure of eye,7.0,1
Optic papillitis,Swelling of structure of eye,7.0,1
Optic disc edema,Swelling of structure of eye,7.0,1
Parakeratosis (disorder),Erythema of skin,89.0,1
Parakeratosis (morphologic abnormality),Erythema of skin,89.0,1
Parakeratosis (disorder),Erythematous condition,89.0,1
Parakeratosis (morphologic abnormality),Erythematous condition,89.0,1
Paramyoclonus multiplex,Myoclonic disorder,29.0,1
Disorder of nasal sinus,Congestion of nasal sinus,4.0,1
Paraplegia (disorder),Spinal paraparesis,1.0,1
Paraplegia (disorder),Flaccid paraplegia,1.0,1
Parasomnia (disorder),Sleep-related head banging,1.0,1
Parasomnia (disorder),Reaction to sudden wakening,1.0,1
Parasomnia (disorder),Sleep automatism,4.0,1
Parkinson's disease,Parkinsonian tremor,1.0,1
Disorder of penis,Lesion of penis,1.0,1
Disorder of penis,Edema of penis,3.0,1
Disorder of penis,Pruritus of penis,3.0,1
Disorder of penis,Pain in penis (finding),1.0,1
Apical granuloma,Mass of oral cavity,7.0,1
Disorder of the peripheral nervous system,Neuropathic pain,16.0,1
Peripheral nerve disease,Neuropathic pain,16.0,1
Disorder of the peripheral nervous system,Intercostal neuralgia,4.0,1
Peripheral nerve disease,Intercostal neuralgia,4.0,1
Disorder of the peripheral nervous system,Cruralgia,4.0,1
Peripheral nerve disease,Cruralgia,4.0,1
Peripheral neuralgia,Neuropathic pain,16.0,1
Peripheral neuralgia,Pain (finding),136.0,1
Peripheral neuralgia,Sciatica (disorder),7.0,1
Peripheral neuralgia,Femoral neuralgia,3.0,1
Peripheral neuralgia,Intercostal neuralgia,4.0,1
Peripheral neuralgia,Lateral femoral cutaneous neuralgia,4.0,1
Peripheral neuralgia,Obturator neuralgia,4.0,1
Peripheral neuralgia,Cruralgia,4.0,1
Peripheral neuralgia,Segmental peripheral neuralgia,3.0,1
Peripheral neuralgia,Ilioinguinal nerve neuralgia,7.0,1
Peripheral neuralgia,Genitofemoral nerve neuralgia,6.0,1
Peripheral neuralgia,Testicular neuralgia,3.0,1
Disorder of peritoneum,Intra-abdominal collection,3.0,1
Petechia,Neonatal facial petechiae,3.0,1
Petechiae of skin,Neonatal facial petechiae,3.0,1
Pharyngitis (disorder),Pain in throat,4.0,1
Pharyngitis (disorder),Sore throat symptom,4.0,1
Polymorphic light eruption,Juvenile spring eruption,1.0,1
Polymorphous light eruption,Juvenile spring eruption,1.0,1
Photodermatitis (disorder),Actinic reaction,1.0,1
Epidemic pleurodynia,Pain (finding),136.0,1
Pneumatosis cystoides intestinalis,Mass of digestive structure,22.0,1
Polymyalgia rheumatica,Pain (finding),136.0,1
Polymyalgia rheumatica,Polymyalgia,3.0,1
Postherpetic neuralgia (disorder),Neuropathic pain,16.0,1
Postherpetic neuralgia (disorder),Pain (finding),136.0,1
Postinfectious neuralgia,Neuropathic pain,16.0,1
Postinfectious neuralgia,Pain (finding),136.0,1
Pregnancy complications,Pruritus of pregnancy,2.0,1
Complication related to pregnancy,Pruritus of pregnancy,2.0,1
Pregnancy complications,Back pain complicating pregnancy,1.0,1
Complication related to pregnancy,Back pain complicating pregnancy,1.0,1
Ectopic atrial beats,Junctional premature beats,1.0,1
Supraventricular premature beats,Junctional premature beats,1.0,1
Atrial premature complex,Junctional premature beats,1.0,1
Premature atrial contraction,Junctional premature beats,1.0,1
Pretibial myxedema,Edema of lower leg,1.0,1
Priapism (disorder),Painful penile erection,2.0,1
Priapism (disorder),(Priapism) or (erection - painful),1.0,1
Primary insomnia,Insomnia (disorder),7.0,1
Disorder of prostate,Prostatic pain (finding),1.0,1
Disorder of prostate,Prostatism (disorder),1.0,1
Disorder of prostate,Prostatorrhea,2.0,1
Pruritic rash,Pruritus of skin,26.0,1
Pruritic rash,Itching of skin,26.0,1
Pruritic rash,Itch of skin,26.0,1
Prurigo papule,Pruritus of skin,26.0,1
Prurigo papule,Itching of skin,26.0,1
Prurigo papule,Itch of skin,26.0,1
Tension-type headache,Headache (finding),59.0,1
Psychogenic headache,Headache (finding),59.0,1
Tension-type headache,Occipital headache,1.0,1
Psychogenic headache,Occipital headache,1.0,1
Purpuric disorder,Cryoglobulinemic purpura,2.0,1
Quadriplegia (disorder),Flaccid tetraplegia,2.0,1
Radiculitis (disorder),Neuropathic pain,16.0,1
"Complex regional pain syndrome, type I",Pain (finding),136.0,1
Shoulder-hand syndrome,Pain (finding),136.0,1
Disorder of refraction,Aniseikonia (disorder),1.0,1
Disorder of refraction,Refractive diplopia,2.0,1
Disorder of respiratory system,[D]Respiratory abnormalities,1.0,1
Disorder of respiratory system,[D]Respiratory abnormalities NOS,1.0,1
Disorder of respiratory system,Restrained respiration,1.0,1
Retinopathy,Retina finding,1.0,1
Retinal disorder,Retina finding,1.0,1
Retinopathy,O/E - retinopathy,2.0,1
Retinal disorder,O/E - retinopathy,2.0,1
Rhinitis (disorder),Purulent nasal discharge,8.0,1
Rhinitis (disorder),Purulent rhinitis,8.0,1
Rhinitis (disorder),Rhinitis due to alpha-adrenergic blocking agent,2.0,1
Disorder of salivary gland,Sialectasia,2.0,1
Infection by Schistosoma,Schistosomal pigment deposition,4.0,1
Disease due to Schistosomatidae,Schistosomal pigment deposition,4.0,1
Disorder of sclera,Scleral discoloration,3.0,1
Scleredema (disorder),Thickening of skin,3.0,1
Visual field defect,Scintillating scotoma,1.0,1
Visual field scotoma,Scintillating scotoma,1.0,1
Visual field defect,Angioscotoma,1.0,1
Visual field scotoma,Angioscotoma,1.0,1
Visual field defect,Ring scotoma,1.0,1
Visual field scotoma,Ring scotoma,1.0,1
Visual field defect,Quadrantic scotoma,1.0,1
Visual field scotoma,Quadrantic scotoma,1.0,1
Silo-fillers' disease,Acute edema,11.0,1
Disorder of skin,Pruritus of skin,26.0,1
Disorder of skin,Itching of skin,26.0,1
Disorder of skin,Itch of skin,26.0,1
Disorder of skin,Skin irritation,3.0,1
Disorder of skin,Thickening of skin,3.0,1
Disorder of skin,Cryoglobulinemic purpura,2.0,1
Infection of skin,Osler's node,3.0,1
Parasitic infection of skin,Malarial pigment deposition,5.0,1
Skin lesion,Tuberculous chancre,3.0,1
Skin lesion,Clubbing of nail (disorder),4.0,1
Skin lesion,Spots on skin (disorder),2.0,1
Sleep apnea,Hypersomnia with sleep apnea,2.0,1
Sleep walking disorder,Sleep automatism,4.0,1
West syndrome,Seizure,169.0,1
Sphenopalatine neuralgia,Pain (finding),136.0,1
Spinal cord disease,Edema of spinal cord,3.0,1
Vertebral column syndromes,Other back symptoms (disorder),1.0,1
Disorder of spine,Other back symptoms (disorder),1.0,1
Sporotrichosis (disorder),Sporotrichotic chancre,3.0,1
Status epilepticus,Seizure,169.0,1
Stevens-Johnson syndrome,Erythema of skin,89.0,1
Stevens-Johnson syndrome,Erythematous condition,89.0,1
Disorder of stomach,Projectile vomiting (disorder),1.0,1
Disorder of stomach,Gastric spasm,2.0,1
Heterotropia,(Esophoria) or (strabismus NOS) or (ophthalmoplegia NOS),2.0,1
Progressive supranuclear ophthalmoplegia,Ophthalmoplegia (disorder),11.0,1
Supraorbital neuralgia,Pain (finding),136.0,1
Disorder of testis,Inflammatory testicular mass,2.0,1
Tetany (disorder),Carpopedal spasm,1.0,1
Disorder of thorax,Intercostal neuralgia,4.0,1
Disorder of thyroid gland,Pain in thyroid,1.0,1
Disorder of thyroid gland,Tenderness of thyroid,1.0,1
Tolosa-Hunt syndrome,Pain (finding),136.0,1
Disorder of tongue,Glossodynia (disorder),4.0,1
Disorder of tongue,Glossopyrosis (disorder),3.0,1
Disorder of tongue,Paresthesia of tongue,1.0,1
Disorder of tongue,Numbness of tongue,1.0,1
Disorder of tongue,Hypoesthesia of tongue,2.0,1
Tooth disorder,Loosening of tooth (disorder),2.0,1
Trigeminal neuralgia,Pain (finding),136.0,1
Trismus (finding),Motor dysfunction,4.0,1
Trypanosomiasis (disorder),Trypanosomal chancre,4.0,1
Tuberculosis of skin,Tuberculous chancre,3.0,1
Diffuse disease of connective tissue,"Extensive congenital erosions, vesicles and reticulate scarring",3.0,1
Upper respiratory infection,Purulent nasal discharge,8.0,1
Upper respiratory infection,Purulent rhinitis,8.0,1
Urinary incontinence,Total urinary incontinence (finding),1.0,1
Urinary incontinence,Urge incontinence of urine,1.0,1
Urinary incontinence,Primary enuresis,1.0,1
Urinary incontinence,Double incontinence (finding),2.0,1
Urinary incontinence,Daytime enuresis,1.0,1
Genuine stress incontinence,Mixed incontinence,1.0,1
Female urinary-genital tract fistula,Menouria,1.0,1
Disorder of the urinary system,Polyuric state,3.0,1
Disorder of urinary tract,Polyuric state,3.0,1
Disorder of the urinary system,Genitourinary symptoms,1.0,1
Disorder of urinary tract,Genitourinary symptoms,1.0,1
Urticaria (disorder),Weal,6.0,1
Urticaria (morphologic abnormality),Weal,6.0,1
Urticaria (disorder),Urticaria geographica,2.0,1
Urticaria (morphologic abnormality),Urticaria geographica,2.0,1
Urticaria (disorder),Menstrual urticaria,2.0,1
Urticaria (morphologic abnormality),Menstrual urticaria,2.0,1
Urticaria (disorder),Delayed dermographism,2.0,1
Urticaria (morphologic abnormality),Delayed dermographism,2.0,1
Urticaria (disorder),Cold reflex urticaria,2.0,1
Urticaria (morphologic abnormality),Cold reflex urticaria,2.0,1
Urticaria (disorder),Delayed cold sensitivity,2.0,1
Urticaria (morphologic abnormality),Delayed cold sensitivity,2.0,1
Urticaria (disorder),Persisting cholinergic urticaria,2.0,1
Urticaria (morphologic abnormality),Persisting cholinergic urticaria,2.0,1
Urticaria (disorder),Cholinergic pruritus,2.0,1
Urticaria (morphologic abnormality),Cholinergic pruritus,2.0,1
Urticaria (disorder),Reflex urticaria,2.0,1
Urticaria (morphologic abnormality),Reflex urticaria,2.0,1
Urticaria (disorder),Immune complex urticaria,7.0,1
Urticaria (morphologic abnormality),Immune complex urticaria,7.0,1
Urticaria (disorder),Urticarial vasculitis (disorder),7.0,1
Urticaria (morphologic abnormality),Urticarial vasculitis (disorder),7.0,1
Disorder of vagina,Hematocolpometra,1.0,1
Disorder of vagina,Pruritus of vagina,2.0,1
Vaginitis and vulvovaginitis (disorder),Vulval irritation,1.0,1
Migraine variants,Headache (finding),59.0,1
Venous varices,Vulval varices in pregnancy,3.0,1
Phlebectasia,Vulval varices in pregnancy,3.0,1
Venous varices,Genital varices in the puerperium,2.0,1
Phlebectasia,Genital varices in the puerperium,2.0,1
Venous varices,Vaginal varices in the puerperium,1.0,1
Phlebectasia,Vaginal varices in the puerperium,1.0,1
Vascular disorder,Harlequin change,3.0,1
Vascular headache,Headache (finding),59.0,1
Vascular headache,Thunderclap headache,2.0,1
Vasovagal attack,Syncope symptom,12.0,1
Vasovagal attack,Syncope and collapse,12.0,1
Velopharyngeal incompetence,[D]Other speech disturbance NOS,13.0,1
Velopharyngeal inadequacy,[D]Other speech disturbance NOS,13.0,1
Velopharyngeal insufficiency,[D]Other speech disturbance NOS,13.0,1
Velopharyngeal incompetence,[D]Other speech disturbance,13.0,1
Velopharyngeal inadequacy,[D]Other speech disturbance,13.0,1
Velopharyngeal insufficiency,[D]Other speech disturbance,13.0,1
Vidian neuralgia,Pain (finding),136.0,1
Viral disease,Postviral excessive daytime sleepiness,1.0,1
Entoptic phenomenon,Subjective visual disturbance,7.0,1
Abnormal vision,Spherical aberration of vision,1.0,1
Dim vision,Spherical aberration of vision,1.0,1
Abnormal vision,Chromatic aberration of vision,2.0,1
Dim vision,Chromatic aberration of vision,2.0,1
Abnormal vision,Visual alteration,9.0,1
Dim vision,Visual alteration,9.0,1
Disorder of vulva,Pruritus of vulva,1.0,1
Disorder of vulva,Dryness of vulva,1.0,1
Vulvitis (disorder),Inflammation of vulva,1.0,1
Verruca vulgaris,Penile warts,4.0,1
Wasting disease,Cachexia (finding),4.0,1
Xeroderma (disorder),Dry skin (finding),1.0,1
Hyposecretion of salivary gland,Drug-induced xerostomia,1.0,1
Aptyalism,Drug-induced xerostomia,1.0,1
Bradyarrhythmia,Fetal bradycardia,1.0,1
Post poliomyelitis syndrome,[D] Post polio exhaustion,1.0,1
Peripheral vascular disease,Paroxysmal vascular dilatation,1.0,1
Peripheral vascular disease,Pain at rest due to peripheral vascular disease,2.0,1
Corneal neovascularization,Vascularization of cornea,2.0,1
Eosinophilia myalgia syndrome,Pain (finding),136.0,1
Erythema infectiosum,Erythema of skin,89.0,1
Erythema infectiosum,Erythematous condition,89.0,1
Complex partial epileptic seizure,Seizure,169.0,1
Psychomotor epilepsy,Seizure,169.0,1
Complex partial epileptic seizure,Partial seizure,22.0,1
Psychomotor epilepsy,Partial seizure,22.0,1
Frontal lobe epilepsy,Seizure,169.0,1
Epilepsia partialis continua,Seizure,169.0,1
Kojevnikov's epilepsy,Seizure,169.0,1
Epilepsia partialis continua,Partial seizure,22.0,1
Kojevnikov's epilepsy,Partial seizure,22.0,1
Essential hypertension,Paroxysmal hypertension,3.0,1
Monoplegia (disorder),Transient monoplegia,1.0,1
Monoplegia (disorder),Monoparesis (disorder),1.0,1
Akinesia,Motor dysfunction,4.0,1
Livedo reticularis,Pale complexion,8.0,1
Synovial cyst,Mass of musculoskeletal structure,10.0,1
Erythema marginatum,Erythema of skin,89.0,1
Erythema marginatum,Erythematous condition,89.0,1
Brachial plexus neuralgia,Pain (finding),136.0,1
Nutritional marasmus,Emaciated,1.0,1
Preinfarction syndrome,Angina,23.0,1
Preinfarction syndrome,Ischemic chest pain,23.0,1
Preinfarction syndrome,Pain (finding),136.0,1
Spinocerebellar ataxia,Ataxia (finding),3.0,1
Soft tissue infection,Purulent nasal discharge,8.0,1
Soft tissue infection,Purulent rhinitis,8.0,1
Umbilical granuloma,Disorder of umbilicus,12.0,1
Primary dysmenorrhea,Pain (finding),136.0,1
Primary dysmenorrhea,Spasmodic dysmenorrhea,3.0,1
Migraine (disorder),Headache (finding),59.0,1
Sciatic neuropathy,Sciatica (disorder),7.0,1
Diabetic ophthalmoplegia,Ophthalmoplegia (disorder),11.0,1
Chronic pain (finding),Alteration in comfort: chronic pain,1.0,1
Chronic pain (finding),Chronic abdominal pain,1.0,1
Chronic pain (finding),Chronic pelvic pain of female,1.0,1
Chronic pain (finding),Chronic intractable pain,1.0,1
Chronic pain (finding),[X]Other chronic pain,1.0,1
Chronic pain (finding),Generalized chronic body pains,1.0,1
Chronic pain (finding),Chronic vaginal pain,2.0,1
Hypersensitivity angiitis,Urticarial vasculitis (disorder),7.0,1
Atrophoderma,Stellate pseudoscar,5.0,1
Disorder of brain stem,Palatal myoclonus,5.0,1
Disorder of brain stem,Oculopalatal myoclonus,2.0,1
Hemorrhagic diarrhea,Diarrhea symptom,39.0,1
Hemorrhagic diarrhea,Loose stool,39.0,1
Myocardial ischemia,Angina,23.0,1
Ischemic heart disease,Angina,23.0,1
Myocardial ischemia,Ischemic chest pain,23.0,1
Ischemic heart disease,Ischemic chest pain,23.0,1
Biliary colic,Abdominal pain,4.0,1
Gallbladder pain,Abdominal pain,4.0,1
Biliary colic,Colicky pain,2.0,1
Gallbladder pain,Colicky pain,2.0,1
Biliary colic,Pain of digestive structure,1.0,1
Gallbladder pain,Pain of digestive structure,1.0,1
Disorder of pregnancy (disorder),Symptomatic disorders in pregnancy,3.0,1
Osteochondropathy,Bone pain (finding),2.0,1
Osteochondropathy,Malignant bone pain,1.0,1
Osteochondropathy,Clavicle pain,1.0,1
Disorder of diaphragm,Paradoxical diaphragmatic movement,1.0,1
Disorder of diaphragm,Diaphragmatic tic,1.0,1
Disorder of diaphragm,Diaphragmatic paresis,1.0,1
Meralgia paresthetica (disorder),Pain (finding),136.0,1
Meralgia paresthetica (disorder),Lateral femoral cutaneous neuralgia,4.0,1
Internuclear ophthalmoplegia,Ophthalmoplegia (disorder),11.0,1
Exophthalmic ophthalmoplegia,Ophthalmoplegia (disorder),11.0,1
Pylorospasm,Spasm (finding),10.0,1
Cyclical vomiting syndrome,Uncontrollable vomiting,3.0,1
Anal spasm,Bowel spasm,4.0,1
Angina decubitus (disorder),Angina,23.0,1
Angina decubitus (disorder),Ischemic chest pain,23.0,1
Angina decubitus (disorder),Pain (finding),136.0,1
Total internal ophthalmoplegia,Internal ophthalmoplegia,3.0,1
Esophoria (disorder),Incomitant esophoria (disorder),2.0,1
Esophoria (disorder),(Esophoria) or (strabismus NOS) or (ophthalmoplegia NOS),2.0,1
Lagophthalmos,Lid retraction &/or lag,1.0,1
Excessive tear production,Watering or tearing eyes (& [C/O]),1.0,1
Excessive tear production,Has watering eyes,1.0,1
Excessive tear production,Watery eye,1.0,1
Cholinergic urticaria,Persisting cholinergic urticaria,2.0,1
Cholinergic urticaria,Cholinergic pruritus,2.0,1
Toxic erythema (disorder),Erythema of skin,89.0,1
Toxic erythema (disorder),Erythematous condition,89.0,1
Toxic erythema (disorder),Familial annular erythema,3.0,1
Placental polyp,Mass of female genital structure,7.0,1
Kayser-Fleischer ring,Chalcosis of cornea,1.0,1
Diarrhea of presumed infectious origin,Diarrhea symptom,39.0,1
Diarrhea of presumed infectious origin,Loose stool,39.0,1
Post-herpetic trigeminal neuralgia,Pain (finding),136.0,1
"[X]Other late congenital syphilis, symptomatic",Saber shin,2.0,1
Vitamin A deficiency with Bitot's spot AND conjunctival xerosis,Bitot's spots,1.0,1
Other and unspecified extrapyramidal diseases and abnormal movement disorders (disorder),Athetoid movement,8.0,1
Other extrapyramidal disease and abnormal movement disorders (disorder),Athetoid movement,8.0,1
Other and unspecified extrapyramidal diseases and abnormal movement disorders (disorder),Paroxysmal dystonia,4.0,1
Other extrapyramidal disease and abnormal movement disorders (disorder),Paroxysmal dystonia,4.0,1
Vascular myelopathy,Edema of spinal cord,3.0,1
Monoplegia of upper limb,Monoparesis - arm,1.0,1
[X]Other specified paralytic syndromes,Flaccid paralysis,1.0,1
[X]Other specified paralytic syndromes,Drummers' palsy,1.0,1
[X]Other specified paralytic syndromes,Post-hemiplegic chorea,2.0,1
[X]Other specified paralytic syndromes,Todd's paresis,1.0,1
Migraine with aura,Headache (finding),59.0,1
Disorder of meninges,Meningeal irritation,1.0,1
Glossopharyngeal neuralgia,Pain (finding),136.0,1
Other nerve root or plexus disorder,Intercostal neuralgia,4.0,1
[X]Other nerve root and plexus disorders,Intercostal neuralgia,4.0,1
Other nerve root or plexus disorder,Ilioinguinal nerve neuralgia,7.0,1
[X]Other nerve root and plexus disorders,Ilioinguinal nerve neuralgia,7.0,1
Other mononeuritis lower limb,Cruralgia,4.0,1
Proliferative diabetic retinopathy (disorder),O/E - right eye proliferative diabetic retinopathy,2.0,1
Proliferative diabetic retinopathy (disorder),O/E - left eye proliferative diabetic retinopathy,2.0,1
Other intraretinal microvascular abnormality (disorder),Retinal arteries silverwire,1.0,1
Transient arterial retinal occlusion,Amaurosis fugax,4.0,1
Psychophysical visual disturbance,Visual hallucinations,1.0,1
Psychophysical visual disturbance,Unformed visual hallucinations,1.0,1
Psychophysical visual disturbance,Formed visual hallucinations,1.0,1
Psychophysical visual disturbance,Visual alteration,9.0,1
Psychophysical visual disturbance,Formed hallucinations of people,1.0,1
Diffuse interstitial keratitis,Diffuse inflammation,11.0,1
Localized vascularization of cornea,Vascularization of cornea,2.0,1
Anterior corneal pigmentation,Stahli's line,2.0,1
Conjunctival cyst,Mass of eye structure,7.0,1
Conjunctival cyst,Swelling of structure of eye,7.0,1
Other conjunctival disorders,Mucus conjunctival discharge,1.0,1
Other conjunctival disorders,Mucopurulent conjunctival discharge,1.0,1
Other eyelid disorder NOS,Rosenbach's sign,1.0,1
Other eyelid disorders,Rosenbach's sign,1.0,1
Other eyelid disorder NOS,Swelling of eyelid (finding),1.0,1
Other eyelid disorders,Swelling of eyelid (finding),1.0,1
[X]Other disorders of sclera,Scleral discoloration,3.0,1
Other scleral disorders NOS,Scleral discoloration,3.0,1
[X]Other disorders of sclera,Sclerotomal pain,1.0,1
Other scleral disorders NOS,Sclerotomal pain,1.0,1
Scleral staphyloma,Total scleral ectasia,1.0,1
Disorder of pinna,Generalized tenderness in pinna,1.0,1
Benign paroxysmal positional vertigo (disorder),Benign paroxysmal positional vertigo nystagmus,3.0,1
Vertigo of central origin,Subjective vertigo,12.0,1
Vertigo of central origin,Brain stem vertigo,1.0,1
[X]Other disorders of ear,Ear pressure sensation,1.0,1
Other ear disorders,Ear pressure sensation,1.0,1
[X]Other disorders of ear,Sensation of pressure in ear,1.0,1
Other ear disorders,Sensation of pressure in ear,1.0,1
[X]Other disorders of ear,Sensation of blocked ears,1.0,1
Other ear disorders,Sensation of blocked ears,1.0,1
[X]Other disorders of ear,Mass of ear structure,8.0,1
Other ear disorders,Mass of ear structure,8.0,1
[X]Other disorders of ear,Swelling of ear structure,1.0,1
Other ear disorders,Swelling of ear structure,1.0,1
Vulval varices,Vulval varices in pregnancy,3.0,1
Vulval varices,Genital varices in the puerperium,2.0,1
Other specified diseases of circulatory system,Prominent leg veins - symptom,1.0,1
Sore throat - chronic,Pain in throat,4.0,1
Sore throat - chronic,Sore throat symptom,4.0,1
Simple chronic bronchitis,Bronchorrhea,1.0,1
Simple chronic bronchitis,Smokers' cough,3.0,1
Acute pulmonary edema due to fumes AND/OR vapors,Acute edema,11.0,1
Acute pulmonary edema,Acute edema,11.0,1
Gingival and periodontal disease,Sore gums,2.0,1
Cyst of oral soft tissue,Mass of oral cavity,7.0,1
Other specified tongue conditions NOS,Hypoesthesia of tongue,2.0,1
Other specified tongue conditions,Hypoesthesia of tongue,2.0,1
Disorder of function of stomach,Gastrointestinal symptom,2.0,1
Other appendix diseases NOS,Appendiceal colic,2.0,1
Other diseases of appendix NOS,Appendiceal colic,2.0,1
Other appendix diseases NOS,Appendicular colic,2.0,1
Other diseases of appendix NOS,Appendicular colic,2.0,1
Functional diarrhea,Diarrhea due to ingestion of unabsorbable substances,2.0,1
[X]Other specified disorders of prostate,Prostatorrhea,2.0,1
[X]Other specified disorders of breast,Subinvolution of breast,1.0,1
[X]Other specified disorders of breast,"Breast subinvolution, postpartum",2.0,1
[X]Other specified disorders of breast,Postpartum subinvolution of breast,2.0,1
[X]Other specified disorders of breast,Peau d'orange surface of breast,2.0,1
[X]Other specified disorders of breast,Generalized tenderness of breast,1.0,1
[X]Other specified disorders of breast,Localized tenderness of breast,1.0,1
Endometriosis of ovary,Pain (finding),136.0,1
Endometriosis of pelvic peritoneum,Pain (finding),136.0,1
Endometriosis of rectovaginal septum and vagina,Pain (finding),136.0,1
Endometriosis of intestine,Pain (finding),136.0,1
Endometriosis in scar of skin,Pain (finding),136.0,1
Noninflammatory disorder of the vagina,Abnormal vaginal odor,1.0,1
Menopausal and postmenopausal disorders,Menopausal problem,1.0,1
Eclampsia in puerperium,Seizure,169.0,1
Hyperemesis gravidarum with metabolic disturbance - delivered,Finding of vomiting,16.0,1
Hyperemesis gravidarum with metabolic disturbance - delivered,Vomiting symptom,16.0,1
Other disorder of lactation unspecified,Breastfeeding painful,1.0,1
[X]Other and unspecified disorders of lactation,Breastfeeding painful,1.0,1
Other disorder of lactation NOS,Breastfeeding painful,1.0,1
Other abnormal granulation tissue NOS,Abnormal granulation tissue,3.0,1
Other specified nail disease NOS,Subungual hyperkeratosis,3.0,1
Other specified nail disease,Subungual hyperkeratosis,3.0,1
Other specified nail disease NOS,Koilonychia,5.0,1
Other specified nail disease,Koilonychia,5.0,1
Other specified nail disease NOS,Lamellar nail splitting,2.0,1
Other specified nail disease,Lamellar nail splitting,2.0,1
Other specified nail disease NOS,Beau's lines,2.0,1
Other specified nail disease,Beau's lines,2.0,1
Other specified nail disease NOS,Clubbing of nail (disorder),4.0,1
Other specified nail disease,Clubbing of nail (disorder),4.0,1
Other specified nail disease NOS,Onychomadesis,2.0,1
Other specified nail disease,Onychomadesis,2.0,1
Other specified nail disease NOS,Change in nail appearance,1.0,1
Other specified nail disease,Change in nail appearance,1.0,1
Other specified nail disease NOS,Nail shedding,1.0,1
Other specified nail disease,Nail shedding,1.0,1
Other specified nail disease NOS,Splits in nails,1.0,1
Other specified nail disease,Splits in nails,1.0,1
Other specified nail disease NOS,Grooving of nail,1.0,1
Other specified nail disease,Grooving of nail,1.0,1
Other specified nail disease NOS,Thin nails,1.0,1
Other specified nail disease,Thin nails,1.0,1
Other specified nail disease NOS,Transverse split nail,1.0,1
Other specified nail disease,Transverse split nail,1.0,1
Other specified nail disease NOS,Splitting toenail,1.0,1
Other specified nail disease,Splitting toenail,1.0,1
Other specified sweat gland disorders,Unpleasant odor of axilla,1.0,1
Other specified sweat gland disorders,Unpleasant odor of genitalia,1.0,1
Derangement of knee (disorder),Knee locking,1.0,1
Other specified joint disorders of the hand,Finger joint laxity,1.0,1
Other specified joint disorders of the lower leg,Infrapatellar tenderness,1.0,1
Other specified joint disorders of the ankle and foot,Metatarsophalangeal joint laxity,1.0,1
"Joint disorder NOS, of shoulder region",Popeye sign,1.0,1
"Joint disorder NOS, of shoulder region",Shoulder joint laxity,1.0,1
"Joint disorder NOS, of the upper arm",Elbow joint laxity,1.0,1
"Joint disorder NOS, of the forearm",Wrist joint laxity,1.0,1
Arthropathy of joint of hand,Thumb joint laxity,1.0,1
Diffuse cervicobrachial syndrome,Cervicobrachialgia,1.0,1
Disorder of sacrum,Sacrocoxalgia,1.0,1
Disorder of sacrum,Sacral back pain,1.0,1
Disorder of sacrum,Sacroiliac joint pain,1.0,1
Disorder of sacrum,Sacroiliac joint laxity,1.0,1
Disorder of sacrum,Sacroiliac joint stiff,1.0,1
Other disorder of coccyx -RETIRED-,Pain in the coccyx,2.0,1
Back disorders - other,Lumbar ache - renal,1.0,1
Back disorders - other,Cervical spine stiff,1.0,1
Enthesopathy of ankle AND/OR tarsus,Metatarsalgia (finding),2.0,1
"Other synovial, tendon and bursa disorders",Tendon sheath effusion,1.0,1
"Other disorders of the synovium, tendon and bursa",Tendon sheath effusion,1.0,1
"Other synovial, tendon and bursa disorders",Nodule on tendon,1.0,1
"Other disorders of the synovium, tendon and bursa",Nodule on tendon,1.0,1
"Other synovial, tendon and bursa disorders",Thickening of tendon sheath,1.0,1
"Other disorders of the synovium, tendon and bursa",Thickening of tendon sheath,1.0,1
Ganglion of joint,Mass of musculoskeletal structure,10.0,1
"Muscle, ligament and fascia disorders",Spastic paraparesis,1.0,1
"Muscle, ligament and fascia disorders",Musculoskeletal hypomobility,1.0,1
"Muscle, ligament and fascia disorders",Musculoskeletal immobility,1.0,1
"Muscle, ligament and fascia disorders",Cerebral paraparesis,1.0,1
"Muscle, ligament and fascia disorders",Weakness of face muscles,1.0,1
"Muscle, ligament and fascia disorders",Floppy muscles,1.0,1
"Muscle, ligament and fascia disorders",Muscle tone atonic,1.0,1
"Muscle, ligament and fascia disorders",Upper facial weakness,1.0,1
"Muscle, ligament and fascia disorders",Quadriceps weakness,1.0,1
"Muscle, ligament and fascia disorders",Calf muscle weakness,1.0,1
[X]Other soft tissue disorders,Polyalgia,3.0,1
[X]Other soft tissue disorders,Mass of body region,3.0,1
[X]Other soft tissue disorders,Mass of trunk,4.0,1
Transitory tachypnea of newborn (disorder),Tachypnea (finding),2.0,1
